posted_at_pkt,source_name,source_type,locations,hazards,text,url
2026-09-15 20:04,Weather: Muzaffarabad,weather,Muzaffarabad,Storm; Weather,Weather forecast alert – Muzaffarabad (مظفرآباد): thunderstorm expected on Tue 15 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=34.37&longitude=73.471
2026-09-15 20:04,Weather: Astore,weather,Astore,Snow; Weather,Weather forecast alert – Astore (استور): heavy snowfall about 3 cm expected on Thu 17 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=35.366&longitude=74.857
2026-09-15 20:04,Weather: Khunjerab Pass,weather,Khunjerab,Snow; Weather,Weather forecast alert – Khunjerab Pass (خنجراب): heavy snowfall about 6 cm expected on Thu 17 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=36.85&longitude=75.428
2026-09-15 20:04,Weather: Hunza (Karimabad),weather,Hunza,Snow; Weather,Weather forecast alert – Hunza (Karimabad) (ہنزہ): heavy snowfall about 2 cm expected on Thu 17 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=36.317&longitude=74.667
2026-09-15 20:04,Weather: Gilgit,weather,Gilgit,Rain; Weather,Weather forecast alert – Gilgit (گلگت): heavy rain/precipitation about 28 mm expected on Thu 17 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=35.92&longitude=74.308
2026-09-15 20:04,Weather: Malam Jabba (Swat),weather,Swat; Malam Jabba,Storm; Weather,Weather forecast alert – Malam Jabba (Swat) (مالم جبہ): thunderstorm expected on Thu 17 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=34.799&longitude=72.573
2026-09-15 20:04,Weather: Malam Jabba (Swat),weather,Swat; Malam Jabba,Storm; Weather,Weather forecast alert – Malam Jabba (Swat) (مالم جبہ): thunderstorm expected on Wed 16 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=34.799&longitude=72.573
2026-09-15 20:04,Weather: Malam Jabba (Swat),weather,Swat; Malam Jabba,Storm; Weather,Weather forecast alert – Malam Jabba (Swat) (مالم جبہ): thunderstorm expected on Tue 15 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=34.799&longitude=72.573
2026-09-15 20:04,Weather: Nathia Gali (Galiyat),weather,Galiyat,Storm; Weather,Weather forecast alert – Nathia Gali (Galiyat) (نتھیا گلی): thunderstorm expected on Tue 15 Sep 2026. Source: Open-Meteo forecast (CC BY 4.0).,https://open-meteo.com/en/docs?latitude=34.073&longitude=73.381
2026-09-15 10:26,Google News: Gilgit-Baltistan / KKH,google_news,Karakoram Highway,Road blocked,"Karakoram Highway blocked today, travellers update - Pakistan Connect",https://news.google.com/rss/articles/CBMijwFBVV95cUxOMmNPeFZKOEFQLTdaWW1MTGdXODk4OUpiTV9KTWFyS2JzQzJJWGpIYmNKcGl1WmlfdlNlM1BpS3NMWFVYbURHRS1SNWVTcVZ3Y3M3enZodWwxYlBabnBscUtqTzl0Qkc0RVo5bDlVeW5PUzJJdzlEUFlrUVBxWkl4WnJUWFFDeFVrUzRVWVlvcw?oc=5
